Year,Month,Prec_Cape,Prec_Accra,Prec_Kumasi
2010,2,0.720689655,2.665517241,1.886206897
2010,3,1.040625,1.1125,1.7375
2010,4,1.880645161,0.658064516,2.622580645
2010,5,5.16875,3.546875,3.559375
2010,6,8.122580645,9.709677419,7.477419355
2010,7,1.528125,2.975,2.821875
2010,8,1.790625,1.090625,3.784375
2010,9,3.258064516,2.032258065,5.641935484
2010,10,4.909375,2.803125,6.0625
2010,11,2.24516129,2.264516129,2.964516129
2010,12,1.459375,2.178125,1.571875
2011,1,0.03125,0.03125,2.0875
2011,2,0.434482759,5.824137931,4.772413793
2011,3,0.1875,0.09375,7.296875
2011,4,3.393548387,4.7,4.090322581
2011,5,6.39375,7.24375,3.284375
2011,6,8.35483871,4.441935484,8.077419355
2011,7,4.78125,3.34375,5.8
2011,8,1.378125,0.759375,2.14375
2011,9,0.887096774,1.2,5.309677419
2011,10,2.646875,6.071875,6.190625
2011,11,0.912903226,0.951612903,1.609677419
2011,12,1.25,0.375,0.375
2012,1,0.11875,0.578125,1.534375
2012,2,0.526666667,1.116666667,2.563333333
2012,3,0.54375,0.459375,2.96875
2012,4,1.606451613,2.703225806,3.977419355
2012,5,6.6,3.878125,8.61875
2012,6,14.20645161,4.683870968,12.44516129
2012,7,2.584375,1.08125,3.15
2012,8,0.8625,0.578125,0.35625
2012,9,1.258064516,2.15483871,2.951612903
2012,10,5.43125,2.021875,7.3625
2012,11,2.441935484,0.464516129,2.632258065
2012,12,1.6375,1.684375,2.26875
2013,1,0.246875,1.09375,0.03125
2013,2,0.65862069,0.068965517,1.955172414
2013,3,0.3125,0.621875,3.465625
2013,4,0.412903226,1.635483871,5.541935484
2013,5,6.584375,2.3,6.6375
2013,6,2.916129032,4.074193548,3.9
2013,7,1.484375,1.146875,4.53125
2013,8,0.34375,0.2625,0.44375
2013,9,2.95483871,2.429032258,7.370967742
2013,10,1.825,0.375,6.91875
2013,11,3.04516129,1.558064516,2.95483871
2013,12,1.578125,3.65,1.6875
2014,1,1.18125,0.540625,2.81875
2014,2,0.631034483,2.031034483,3.5
2014,3,2.409375,3.23125,2.18125
2014,4,3.319354839,1.983870968,3.541935484
2014,5,10.20625,3.696875,3.8125
2014,6,4.716129032,6.764516129,8.85483871
2014,7,3.778125,2.984375,2.45625
2014,8,1.053125,3.940625,2.103125
2014,9,1.503225806,3.641935484,3.925806452
2014,10,2.19375,2.534375,5.940625
2014,11,0.95483871,2.212903226,4.148387097
2014,12,0.990625,0.39375,0.471875
2015,1,0.03125,0.2125,0.03125
2015,2,0.94137931,1.531034483,2.275862069
2015,3,3.975,3.18125,5.45625
2015,4,2.019354839,2,7.596774194
2015,5,5.05,4.490625,3.85625
2015,6,17.78064516,12.46129032,10.9483871
2015,7,0.728125,1.515625,4.23125
2015,8,0.25,0.259375,0.340625
2015,9,1.870967742,0.858064516,3.570967742
2015,10,1.84375,4.91875,4.75625
2015,11,2.690322581,1.722580645,1.667741935
2015,12,1.3375,0.73125,0.375
